request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_55,148276.01,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,Only 148276.01 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_56,667.54,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-15,none,Only 667.54 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_57,16190.05,affordable_later,wait,none,2026-05-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-05-15.
request_58,0.0,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Only 140600.00 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_60,167.76,affordable_later,wait,none,2026-01-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-01-15.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Only 29062.00 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Safe to pay the full requested amount of 404.23 now while maintaining the required minimum balance.
request_63,53413.97,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_64,0.0,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_65,9163.96,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200.00,2026-04-03,none,Safe to pay the full requested amount of 22200.00 now while maintaining the required minimum balance.
request_67,496.67,affordable_later,wait,none,2024-10-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2024-10-15.
request_68,1531.08,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-23,none,Only 1531.08 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Safe to pay the full requested amount of 529.10 now while maintaining the required minimum balance.
request_70,50944.95,affordable_later,wait,none,2025-02-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-02-15.
request_71,1556285.76,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330.00,2026-07-05,none,Safe to pay the full requested amount of 11330.00 now while maintaining the required minimum balance.
request_73,0.0,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010.00,2025-08-04,none,Safe to pay the full requested amount of 5010.00 now while maintaining the required minimum balance.
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Only 28270.00 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_76,707.28,affordable_later,wait,none,2024-08-24,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2024-08-24.
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700.00,2025-11-05,none,Safe to pay the full requested amount of 60700.00 now while maintaining the required minimum balance.
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200.00,2025-10-02,none,Safe to pay the full requested amount of 50200.00 now while maintaining the required minimum balance.
request_79,755.57,affordable_later,wait,none,2024-11-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2024-11-15.
request_80,121976.7,affordable_later,wait,none,2025-04-24,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-04-24.
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076.00,2026-07-03,none,Safe to pay the full requested amount of 2076.00 now while maintaining the required minimum balance.
request_82,378.0,affordable_later,wait,none,2025-01-20,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-01-20.
request_83,7910.59,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_84,32593.33,affordable_later,wait,none,2026-06-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-06-15.
request_85,1407862.11,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300.00,2025-08-03,none,Safe to pay the full requested amount of 46300.00 now while maintaining the required minimum balance.
request_87,43267.39,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_88,10734.0,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,Only 10734.00 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_89,10918623.51,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,Only 10918623.51 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560.00,2026-07-06,none,Safe to pay the full requested amount of 2560.00 now while maintaining the required minimum balance.
request_91,1381.16,affordable_later,wait,none,2024-09-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2024-09-15.
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034.00,2025-02-05,none,Safe to pay the full requested amount of 34034.00 now while maintaining the required minimum balance.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Safe to pay the full requested amount of 1729.20 now while maintaining the required minimum balance.
request_94,572.0,affordable_now,full_payment,2024-12-04:572.00,2024-12-04,none,Safe to pay the full requested amount of 572.00 now while maintaining the required minimum balance.
request_95,28365.74,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_96,81630.56,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,Only 81630.56 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_97,1740.93,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,Only 1740.93 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_98,11279.98,affordable_later,wait,none,2025-09-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-09-15.
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062.00,2026-07-04,none,Safe to pay the full requested amount of 18062.00 now while maintaining the required minimum balance.
request_100,29616.75,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,Only 29616.75 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500.00,2025-11-03,none,Safe to pay the full requested amount of 143500.00 now while maintaining the required minimum balance.
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Only 1716.00 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_103,22669.08,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204.00,2025-02-04,none,Safe to pay the full requested amount of 17204.00 now while maintaining the required minimum balance.
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500.00,2026-06-08,none,Safe to pay the full requested amount of 53500.00 now while maintaining the required minimum balance.
request_106,458.14,affordable_later,wait,none,2025-02-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-02-15.
request_107,2534.4,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-05,none,Only 2534.40 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_108,4835.23,affordable_later,wait,none,2026-09-24,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-09-24.
request_109,868.63,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,Only 868.63 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,Only 22352.00 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000.00,2026-04-03,none,Safe to pay the full requested amount of 16625000.00 now while maintaining the required minimum balance.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Safe to pay the full requested amount of 271.70 now while maintaining the required minimum balance.
request_113,36500.0,affordable_now,full_payment,2026-09-04:36500.00,2026-09-04,none,Safe to pay the full requested amount of 36500.00 now while maintaining the required minimum balance.
request_114,61815.99,affordable_later,wait,none,2026-01-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-01-15.
request_115,16726.05,affordable_later,wait,none,2024-11-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2024-11-15.
request_116,14959.91,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_117,880.0,affordable_now,full_payment,2026-07-05:880.00,2026-07-05,none,Safe to pay the full requested amount of 880.00 now while maintaining the required minimum balance.
request_118,717.82,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-20,none,Only 717.82 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_119,55200.38,affordable_later,wait,none,2025-07-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-07-15.
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000.00,2026-04-06,none,Safe to pay the full requested amount of 7714000.00 now while maintaining the required minimum balance.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Safe to pay the full requested amount of 633.60 now while maintaining the required minimum balance.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Only 20558000.00 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000.00,2026-01-07,none,Safe to pay the full requested amount of 4076000.00 now while maintaining the required minimum balance.
request_124,1648.56,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,Only 1648.56 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468.00,2025-11-06,none,Safe to pay the full requested amount of 6468.00 now while maintaining the required minimum balance.
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600.00,2026-07-03,none,Safe to pay the full requested amount of 159600.00 now while maintaining the required minimum balance.
request_127,14067.97,affordable_later,wait,none,2024-09-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2024-09-15.
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168.00,2025-02-07,none,Safe to pay the full requested amount of 25168.00 now while maintaining the required minimum balance.
request_129,120.67,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_130,533.23,affordable_later,wait,none,2025-02-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-02-15.
request_131,1210.34,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-23,none,Only 1210.34 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Safe to pay the full requested amount of 379.86 now while maintaining the required minimum balance.
request_133,1649738.95,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_134,7343943.67,affordable_later,wait,none,2025-09-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-09-15.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Safe to pay the full requested amount of 304.80 now while maintaining the required minimum balance.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,Safe to pay the full requested amount of 560.40 now while maintaining the required minimum balance.
request_137,41069.62,affordable_later,wait,none,2025-12-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-12-15.
request_138,880.17,affordable_with_plan,installments,2026-04-07:435.74|2026-05-05:435.74|2026-06-02:435.74,2026-04-15,none,Only 880.17 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_139,1883.22,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,Only 1883.22 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_140,5931.36,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_141,24827.18,affordable_later,wait,none,2026-03-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-03-15.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Safe to pay the full requested amount of 1263.60 now while maintaining the required minimum balance.
request_143,3601.61,affordable_later,wait,none,2025-07-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-07-15.
request_144,227.93,affordable_later,wait,none,2026-07-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-07-15.
request_145,35087.6,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-20,none,Only 35087.60 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_146,39522.28,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_147,487.01,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,Only 487.01 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_148,8867.42,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,none,Only 8867.42 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_149,25825.49,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,Only 25825.49 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_150,390.12,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,Only 390.12 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000.00,2024-09-03,none,Safe to pay the full requested amount of 26999000.00 now while maintaining the required minimum balance.
request_152,12881.92,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,Only 12881.92 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_153,231.68,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_154,561.53,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500.00,2025-05-06,none,Safe to pay the full requested amount of 112500.00 now while maintaining the required minimum balance.
request_156,8639.64,affordable_later,wait,none,2026-06-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-06-15.
request_157,6580268.86,affordable_later,wait,none,2024-04-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2024-04-15.
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,Only 242600.00 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398.00,2026-01-04,none,Safe to pay the full requested amount of 13398.00 now while maintaining the required minimum balance.
request_160,574.47,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,Only 574.47 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_161,8553761.54,affordable_later,wait,none,2025-12-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-12-15.
request_162,4486081.51,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_163,13341342.69,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-20,none,Only 13341342.69 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240.00|2025-03-11:9366240.00|2025-04-08:9366240.00,2025-02-04,none,Only 27018000.00 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600.00,2026-04-06,none,Safe to pay the full requested amount of 80600.00 now while maintaining the required minimum balance.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Only 2907.60 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_167,30449.45,affordable_later,wait,none,2025-07-23,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-07-23.
request_168,41988.37,affordable_later,wait,none,2026-01-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-01-15.
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976.00,2024-03-04,none,Safe to pay the full requested amount of 41976.00 now while maintaining the required minimum balance.
request_170,34608292.09,affordable_with_plan,installments,2025-08-06:12804480.00|2025-09-03:12804480.00|2025-10-01:12804480.00,2025-08-15,none,Only 34608292.09 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_171,64.93,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_172,10200.0,affordable_with_plan,installments,2024-06-05:5304.00|2024-07-03:5304.00,2024-06-05,none,Only 10200.00 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_173,74475.62,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-12-15,none,Only 74475.62 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Only 1146.20 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Safe to pay the full requested amount of 2346.30 now while maintaining the required minimum balance.
request_176,399.25,affordable_later,wait,none,2025-04-24,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-04-24.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,Safe to pay the full requested amount of 1017.60 now while maintaining the required minimum balance.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Only 2938.10 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_179,8788418.3,affordable_later,wait,none,2025-06-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-06-15.
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500.00,2026-07-06,none,Safe to pay the full requested amount of 66500.00 now while maintaining the required minimum balance.
request_181,376.34,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714.00,2025-08-05,none,Safe to pay the full requested amount of 65714.00 now while maintaining the required minimum balance.
request_183,23863695.32,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-06-15,none,Only 23863695.32 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_184,21731.38,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_185,524.36,affordable_later,wait,none,2025-12-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-12-15.
request_186,6179.91,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_187,37718.15,affordable_later,wait,none,2024-11-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2024-11-15.
request_188,226.18,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Safe to pay the full requested amount of 488.40 now while maintaining the required minimum balance.
request_190,807.31,affordable_later,wait,none,2025-02-20,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-02-20.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Safe to pay the full requested amount of 664.40 now while maintaining the required minimum balance.
request_192,70.15,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_193,121.2,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-15,none,Only 121.20 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_194,35240.83,affordable_later,wait,none,2025-10-23,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-10-23.
request_195,1000.07,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,Only 1000.07 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Safe to pay the full requested amount of 762.30 now while maintaining the required minimum balance.
request_197,50939000.0,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,Only 50939000.00 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800.00,2026-07-07,none,Safe to pay the full requested amount of 185800.00 now while maintaining the required minimum balance.
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Only 23674000.00 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000.00,2025-02-06,none,Safe to pay the full requested amount of 21717000.00 now while maintaining the required minimum balance.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000.00,2026-04-03,none,Safe to pay the full requested amount of 23997000.00 now while maintaining the required minimum balance.
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900.00,2024-12-05,none,Safe to pay the full requested amount of 123900.00 now while maintaining the required minimum balance.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Only 1442.10 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Safe to pay the full requested amount of 588.74 now while maintaining the required minimum balance.
